id,company,gender,salary,position_level,performance_score,work_hours_per_week,experience_years,has_certifications,promoted
0,4,0,68000.0,0,3.0,28.0,1.0,False,True
2,2,0,91000.0,1,5.0,48.0,33.0,True,True
3,4,0,82000.0,2,5.0,60.0,1.0,True,True
4,0,0,76000.0,2,3.0,31.0,13.0,False,True
5,3,0,83000.0,1,8.0,36.0,0.0,True,True
6,3,1,89000.0,2,7.0,36.0,12.0,False,True
8,3,1,69000.0,2,1.0,45.0,0.0,True,True
9,2,0,75000.0,0,9.0,54.0,2.0,False,True
10,0,0,78000.0,2,6.0,29.0,4.0,True,True
11,4,0,86000.0,1,10.0,24.0,0.0,False,True
12,3,0,74000.0,0,5.0,31.0,9.0,False,True
13,4,0,80000.0,1,9.0,44.0,0.0,True,True
14,1,1,0.0,1,2.0,31.0,2.0,True,True
15,0,0,82000.0,0,9.0,25.0,10.0,True,True
16,0,0,71000.0,1,4.0,60.0,8.0,True,True
17,3,1,81000.0,1,2.0,34.0,27.0,True,True
18,0,0,76000.0,0,8.0,24.0,18.0,True,True
19,1,0,72000.0,2,3.0,44.0,1.0,True,True
20,2,0,76000.0,2,6.0,45.0,10.0,False,True
21,3,0,82000.0,0,10.0,31.0,6.0,False,True
22,3,1,61000.0,0,2.0,25.0,6.0,False,True
23,4,1,77000.0,2,2.0,53.0,1.0,False,True
24,3,1,74000.0,2,1.0,40.0,4.0,False,True
25,0,1,86000.0,1,10.0,35.0,14.0,False,True
26,3,0,0.0,0,7.0,39.0,8.0,False,True
27,1,1,69000.0,0,2.0,52.0,0.0,False,True
28,4,1,86000.0,0,7.0,44.0,30.0,False,True
29,4,1,86000.0,2,6.0,45.0,7.0,False,True
30,1,0,67000.0,0,3.0,22.0,0.0,True,True
31,1,0,66000.0,0,2.0,31.0,1.0,True,True
32,0,1,96000.0,0,5.0,48.0,47.0,False,True
33,3,1,83000.0,2,4.0,57.0,-25.0,False,True
34,3,1,90000.0,1,10.0,47.0,2.0,True,True
35,0,1,83000.0,0,3.0,41.0,33.0,False,True
36,0,0,73000.0,1,5.0,31.0,2.0,True,True
37,0,1,90000.0,2,9.0,30.0,7.0,False,True
38,4,1,83000.0,0,9.0,44.0,0.0,True,True
39,3,0,75000.0,0,5.0,51.0,11.0,False,True
40,3,0,76000.0,1,8.0,27.0,9.0,True,True
41,2,1,68000.0,0,1.0,35.0,4.0,False,True
42,1,1,77000.0,0,7.0,27.0,17.0,True,True
43,2,0,78000.0,2,5.0,55.0,6.0,True,True
44,1,0,63000.0,0,2.0,42.0,7.0,False,True
45,1,0,76000.0,0,9.0,51.0,2.0,False,True
46,1,1,69000.0,1,2.0,45.0,16.0,True,True
47,1,0,74000.0,0,6.0,57.0,15.0,False,True
48,3,0,70000.0,0,8.0,31.0,3.0,False,True
49,3,1,75000.0,0,4.0,56.0,18.0,False,True
50,0,0,0.0,0,2.0,49.0,-2.0,True,True
51,0,0,102000.0,2,7.0,60.0,39.0,True,True
52,0,0,64000.0,0,1.0,60.0,-5.0,True,True
53,0,0,64000.0,2,2.0,25.0,4.0,True,True
54,1,0,74000.0,2,2.0,47.0,-15.0,False,True
